ticket_id,projekt,reporter,assignee,prioritet,status,datum_kreiranja,dan,mjesec,godina,kvartal,dan_u_tjednu,sati_rjesavanja,dana_rjesavanja,broj_komentara,sati_open,sati_in_progress,sati_resolved,sati_waiting
10027000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-04-15,15,4,2007,2,Sunday,99220.54,4134.19,7,99220.54,NULL,NULL,NULL
10028000,"Project Phoenix","Josip Božić",NULL,unknown,closed,2007-04-15,15,4,2007,2,Sunday,99216.46,4134.02,4,99216.46,NULL,NULL,NULL
10048000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-16,16,4,2007,2,Monday,99189.21,4132.88,2,99189.21,NULL,NULL,NULL
10051000,"Project Phoenix","Petar Marić",NULL,unknown,closed,2007-04-17,17,4,2007,2,Tuesday,99173.44,4132.23,6,99173.44,NULL,NULL,NULL
10053000,"Project Eclipse","Katarina Kovačić",NULL,unknown,closed,2007-04-17,17,4,2007,2,Tuesday,99172.79,4132.20,4,99172.79,NULL,NULL,NULL
10058000,"Project Nexus","Petar Babić",NULL,unknown,closed,2007-04-18,18,4,2007,2,Wednesday,99148.05,4131.17,3,99148.05,NULL,NULL,NULL
10059000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-04-18,18,4,2007,2,Wednesday,99145.17,4131.05,4,99145.17,NULL,NULL,NULL
10064000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-22,22,4,2007,2,Sunday,99048.65,4127.03,10,99048.65,NULL,NULL,NULL
10068000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-23,23,4,2007,2,Monday,99027.92,4126.16,6,99027.92,NULL,NULL,NULL
10070000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-24,24,4,2007,2,Tuesday,98995.70,4124.82,7,98995.70,NULL,NULL,NULL
10071000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-24,24,4,2007,2,Tuesday,98999.41,4124.98,5,98999.41,NULL,NULL,NULL
10072000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-24,24,4,2007,2,Tuesday,98993.92,4124.75,5,98993.92,NULL,NULL,NULL
10073000,"Project Solaris","Josip Horvat",NULL,unknown,closed,2007-04-24,24,4,2007,2,Tuesday,98996.53,4124.86,4,98996.53,NULL,NULL,NULL
10074000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-25,25,4,2007,2,Wednesday,98979.05,4124.13,4,98979.05,NULL,NULL,NULL
10075000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-25,25,4,2007,2,Wednesday,98978.71,4124.11,4,98978.71,NULL,NULL,NULL
10076000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-25,25,4,2007,2,Wednesday,98978.47,4124.10,4,98978.47,NULL,NULL,NULL
10078000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-25,25,4,2007,2,Wednesday,98980.06,4124.17,5,98980.06,NULL,NULL,NULL
10083000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-26,26,4,2007,2,Thursday,98958.06,4123.25,5,98958.06,NULL,NULL,NULL
10088000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-04-26,26,4,2007,2,Thursday,98948.11,4122.84,3,98948.11,NULL,NULL,NULL
10089000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-29,29,4,2007,2,Sunday,98885.17,4120.22,6,98885.17,NULL,NULL,NULL
10091000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-04-30,30,4,2007,2,Monday,98861.39,4119.22,29,98861.39,NULL,NULL,NULL
10092000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-04-30,30,4,2007,2,Monday,98861.38,4119.22,3,98861.38,NULL,NULL,NULL
10094000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-30,30,4,2007,2,Monday,98859.46,4119.14,5,98859.46,NULL,NULL,NULL
10095000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-30,30,4,2007,2,Monday,98859.34,4119.14,5,98859.34,NULL,NULL,NULL
10096000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-04-30,30,4,2007,2,Monday,98857.50,4119.06,5,98857.50,NULL,NULL,NULL
10098000,"Project Atlas","Katarina Kovačić",NULL,unknown,closed,2007-05-02,2,5,2007,2,Wednesday,98814.30,4117.26,6,98814.30,NULL,NULL,NULL
10100000,"Project Quantum","Ivana Knežević",NULL,unknown,closed,2007-05-02,2,5,2007,2,Wednesday,98803.37,4116.81,9,98803.37,NULL,NULL,NULL
10101000,"Project Apollo","Katarina Božić",NULL,unknown,closed,2007-05-02,2,5,2007,2,Wednesday,98807.38,4116.97,11,98807.38,NULL,NULL,NULL
10102000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-05-03,3,5,2007,2,Thursday,98787.24,4116.14,5,98787.24,NULL,NULL,NULL
10103000,"Project Orion","Marko Novak",NULL,unknown,closed,2007-05-03,3,5,2007,2,Thursday,98786.84,4116.12,5,98786.84,NULL,NULL,NULL
